Date,Close,High,Low,Open,Volume
2026-06-18,298.010009765625,300.57000732421875,295.6199951171875,298.1099853515625,85962200
2026-06-22,297.010009765625,302.4200134277344,296.760009765625,297.30999755859375,44879900
2026-06-23,294.29998779296875,301.6400146484375,294.17999267578125,297.5400085449219,52010900
2026-06-24,293.0799865722656,299.70001220703125,292.94000244140625,295.3599853515625,53081900
2026-06-25,275.1499938964844,288.79998779296875,273.75,287.3999938964844,107013700
2026-06-26,283.7799987792969,285.95001220703125,274.2099914550781,275.0,261775500
2026-06-29,281.739990234375,288.3699951171875,279.8500061035156,286.7300109863281,66427000
2026-06-30,289.3599853515625,289.94000244140625,280.70001220703125,281.1700134277344,65100200
2026-07-01,294.3800048828125,296.5899963378906,289.20001220703125,293.44000244140625,50164200
2026-07-02,308.6300048828125,309.4200134277344,293.67999267578125,294.1199951171875,75352800
2026-07-06,312.6600036621094,314.20001220703125,307.0,307.3599853515625,53590000
2026-07-07,310.6600036621094,315.4800109863281,310.1499938964844,315.2900085449219,42490000
2026-07-08,313.3900146484375,314.82000732421875,307.04998779296875,311.9100036621094,41323500
2026-07-09,316.2200012207031,316.5299987792969,308.1600036621094,310.510009765625,48124500
2026-07-10,315.32000732421875,316.9100036621094,312.1700134277344,314.7200012207031,34132300
2026-07-13,317.30999755859375,323.45001220703125,315.7799987792969,317.0199890136719,43257800
2026-07-14,314.8599853515625,316.19000244140625,311.9100036621094,313.760009765625,36336800
2026-07-15,327.5,328.7300109863281,317.32000732421875,317.6199951171875,60957600
2026-07-16,333.260009765625,334.67999267578125,326.7900085449219,328.010009765625,62970600
2026-07-17,333.739990234375,334.989990234375,329.0,331.9800109863281,63407100
2026-07-20,326.5899963378906,333.7099914550781,323.67999267578125,333.510009765625,53468000
2026-07-21,327.739990234375,329.6000061035156,322.2200012207031,323.1300048828125,41338900
2026-07-22,325.8900146484375,329.0,323.3399963378906,327.8699951171875,38755900
2026-07-23,321.6600036621094,323.29998779296875,319.3500061035156,321.7300109863281,40840800
2026-07-24,333.0199890136719,334.3699951171875,321.6199951171875,321.7900085449219,47489400
2026-07-27,336.9100036621094,339.57000732421875,334.0199890136719,334.5400085449219,49604300
2026-07-28,340.0799865722656,342.8900146484375,335.6000061035156,340.0299987792969,51859000
2026-07-29,338.19000244140625,344.57000732421875,337.3500061035156,339.7300109863281,56090800
2026-07-30,333.42999267578125,334.75,329.5899963378906,333.1000061035156,74817800
2026-07-31,305.2099914550781,306.8999938964844,300.0,304.80999755859375,92850658
