Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2026-06-18,379.3999938964844,381.3699951171875,373.2799987792969,377.82000732421875,59714200
2026-06-22,367.3399963378906,381.6300048828125,367.07000732421875,375.739990234375,45171100
2026-06-23,373.94000244140625,377.2200012207031,370.6700134277344,372.3800048828125,40647600
2026-06-24,365.4599914550781,378.8800048828125,364.7799987792969,371.57000732421875,44509900
2026-06-25,352.8299865722656,364.2300109863281,349.20001220703125,362.7699890136719,66179000
2026-06-26,372.9700012207031,376.6099853515625,355.42999267578125,357.1499938964844,186201600
2026-06-29,368.57000732421875,380.5,359.8999938964844,377.5,51229900
2026-06-30,373.0199890136719,374.1499938964844,367.45001220703125,371.0299987792969,44945700
2026-07-01,384.2799987792969,388.8299865722656,374.8900146484375,380.8299865722656,48065800
2026-07-02,390.489990234375,392.20001220703125,383.70001220703125,384.4800109863281,42128900
2026-07-06,386.739990234375,389.1499938964844,381.2200012207031,387.0400085449219,34224500
2026-07-07,388.8399963378906,395.57000732421875,388.2200012207031,392.489990234375,29297500
2026-07-08,383.3399963378906,385.30999755859375,381.3299865722656,384.0299987792969,25908300
2026-07-09,384.3599853515625,384.6499938964844,373.3500061035156,374.45001220703125,31083200
2026-07-10,385.1000061035156,391.9100036621094,381.5,387.79998779296875,24644600
2026-07-13,390.989990234375,393.6499938964844,384.1499938964844,387.75,28914900
2026-07-14,384.92999267578125,388.19000244140625,378.6499938964844,382.82000732421875,27863900
2026-07-15,395.6300048828125,398.9599914550781,386.3999938964844,387.79998779296875,36253700
2026-07-16,401.1000061035156,405.989990234375,392.04998779296875,398.30999755859375,37047400
2026-07-17,393.82000732421875,398.3900146484375,389.3900146484375,394.8599853515625,33049800
2026-07-20,402.2900085449219,403.17999267578125,389.6499938964844,391.4100036621094,27915800
2026-07-21,397.75,401.4700012207031,396.32000732421875,398.80999755859375,24126600
2026-07-22,390.3399963378906,401.0,386.9599914550781,399.5799865722656,28142500
2026-07-23,381.5799865722656,391.7799987792969,377.3900146484375,389.9700012207031,30351800
2026-07-24,381.70001220703125,389.0299987792969,380.6499938964844,387.04998779296875,27659400
2026-07-27,389.1000061035156,394.20001220703125,387.989990234375,390.0799865722656,27856200
2026-07-28,393.3500061035156,400.32000732421875,391.29998779296875,393.1600036621094,32367500
2026-07-29,390.5400085449219,401.25,388.739990234375,393.3999938964844,47209000
2026-07-30,451.1000061035156,458.69000244140625,432.44000244140625,437.8999938964844,109975300
2026-07-31,453.42498779296875,462.95001220703125,449.552001953125,449.5849914550781,19244350
