Date,Close,High,Low,Open,Volume,SMA_20,EMA_20,RSI_14
2026-06-18,210.69000244140625,211.38999938964844,206.5,207.3300018310547,241272000,,210.69000244140625,
2026-06-22,208.6499938964844,213.9900054931641,207.72000122070312,211.44000244140625,122041400,,210.49571591331846,
2026-06-23,200.0399932861328,203.7700042724609,200.0,202.1699981689453,153496200,,209.49993280596743,
2026-06-24,199.0,201.6699981689453,196.5800018310547,200.1199951171875,151810700,,208.49993920539913,
2026-06-25,195.7400054931641,200.8000030517578,192.1300048828125,200.0800018310547,149550000,,207.2847074232815,
2026-06-26,192.52999877929688,195.5500030517578,191.22000122070312,193.1199951171875,179304100,,205.87949707623534,
2026-06-29,194.97000122070312,196.17999267578125,189.8000030517578,193.8500061035156,148835700,,204.84049747094656,
2026-06-30,200.08999633789065,200.6300048828125,195.1100006103516,197.2400054931641,166476700,,204.3880687916079,
2026-07-01,197.5800018310547,199.8500061035156,193.4499969482422,196.1999969482422,146147600,,203.7396814620314,
2026-07-02,194.8300018310547,200.05999755859372,192.3500061035156,197.13999938964844,142068700,,202.89114054479552,
2026-07-06,195.5500030517578,197.5500030517578,193.9900054931641,194.4199981689453,108999000,,202.19198459307765,
2026-07-07,196.92999267578125,198.41000366210935,191.13999938964844,192.3699951171875,124154600,,201.6908425057161,
2026-07-08,204.1199951171875,205.16000366210935,195.05999755859372,195.17999267578125,147419100,,201.92219037347527,
2026-07-09,202.77999877929688,204.58999633789065,198.9600067138672,204.4600067138672,132037400,,202.00388641212496,40.49506555304238
2026-07-10,210.9600067138672,211.0,201.9199981689453,202.0,148421000,,202.85685025038612,50.271143109931025
2026-07-13,203.52999877929688,210.57000732421875,203.0,208.5399932861328,121411000,,202.9209596340919,45.36064172093057
2026-07-14,211.8000030517578,212.5500030517578,203.8000030517578,208.1999969482422,124379600,,203.76658281672675,60.72211027619967
2026-07-15,212.5,213.80999755859372,206.0399932861328,211.9600067138672,124797200,,204.59833683418134,62.385321100917416
2026-07-16,207.3999938964844,211.0800018310547,205.8500061035156,210.1699981689453,122986100,,204.86516131630543,60.34787540229
2026-07-17,202.80999755859372,206.6499938964844,197.97000122070312,202.63999938964844,144281900,202.12499923706054,204.66943143461862,58.905057659293306
2026-07-20,203.27999877929688,207.7400054931641,202.27999877929688,205.8699951171875,88701500,201.75449905395507,204.5371045150642,57.45291260860424
2026-07-21,207.2899932861328,208.6499938964844,204.00999450683597,207.5399932861328,108685600,201.6864990234375,204.7992843980231,56.58857707601493
2026-07-22,212.05999755859372,214.38999938964844,204.9499969482422,205.80999755859372,137645600,202.28749923706056,205.49078088950603,62.72407152697007
2026-07-23,208.75999450683597,210.8699951171875,205.9600067138672,209.4600067138672,110505300,202.77549896240234,205.80213456734697,62.12357677626081
2026-07-24,206.83999633789065,211.91000366210935,204.80999755859372,207.4499969482422,114836800,203.33049850463868,205.900978545494,59.624886209517086
2026-07-27,196.50999450683597,208.75,195.44000244140625,208.1999969482422,154353700,203.5294982910156,205.00659911324087,49.68935056492491
2026-07-28,197.00999450683597,198.6999969482422,192.7400054931641,195.0,134111500,203.63149795532226,204.24501772215467,44.16352125946223
2026-07-29,190.00999450683597,197.07000732421875,190.00999450683597,195.8500061035156,147680800,203.12749786376952,202.88930122545764,40.40859250382732
2026-07-30,195.0399932861328,197.25,191.5200042724609,193.4499969482422,129010200,203.00049743652343,202.14174808837907,37.448746407256074
2026-07-31,200.05999755859372,201.1199951171875,194.9499969482422,198.4405059814453,90102360,203.2619972229004,201.9434861331614,47.15620335578255
