Date,Close,High,Low,Open,Volume,SMA_20,EMA_20
2026-06-18,298.010009765625,300.57000732421875,295.6199951171875,298.1099853515625,85962200,,298.010009765625
2026-06-22,297.010009765625,302.4200134277344,296.760009765625,297.3099975585937,44879900,,297.9147716703869
2026-06-23,294.29998779296875,301.6400146484375,294.17999267578125,297.5400085449219,52010900,,297.57050653920425
2026-06-24,293.0799865722656,299.70001220703125,292.94000244140625,295.3599853515625,53081900,,297.14283797092435
2026-06-25,275.1499938964844,288.79998779296875,273.75,287.3999938964844,107013700,,295.0482813924063
2026-06-26,283.7799987792969,285.95001220703125,274.2099914550781,275.0,261775500,,293.9751116197292
2026-06-29,281.739990234375,288.3699951171875,279.8500061035156,286.7300109863281,66427000,,292.8098619639812
2026-06-30,289.3599853515625,289.94000244140625,280.70001220703125,281.1700134277344,65100200,,292.48130228660796
2026-07-01,294.3800048828125,296.5899963378906,289.20001220703125,293.44000244140625,50164200,,292.6621311052941
2026-07-02,308.6300048828125,309.4200134277344,293.67999267578125,294.1199951171875,75352800,,294.1828809888673
2026-07-06,312.6600036621094,314.20001220703125,307.0,307.3599853515625,53590000,,295.9426069577475
2026-07-07,310.6600036621094,315.4800109863281,310.1499938964844,315.2900085449219,42490000,,297.34426378673436
2026-07-08,313.3900146484375,314.82000732421875,307.04998779296875,311.9100036621094,41323500,,298.872430535468
2026-07-09,316.2200012207031,316.5299987792969,308.1600036621094,310.510009765625,48124500,,300.52458012453803
2026-07-10,315.32000732421875,316.9100036621094,312.1700134277344,314.7200012207031,34132300,,301.9336684292695
2026-07-13,317.3099975585937,323.45001220703125,315.7799987792969,317.0199890136719,43257800,,303.3980807273004
2026-07-14,314.8599853515625,316.19000244140625,311.9100036621094,313.760009765625,36336800,,304.4896906915159
2026-07-15,327.5,328.7300109863281,317.32000732421875,317.6199951171875,60957600,,306.68114872089535
2026-07-16,333.260009765625,334.67999267578125,326.7900085449219,328.010009765625,62970600,,309.21246882039344
2026-07-17,333.739990234375,334.989990234375,329.0,331.9800109863281,63407100,305.51799926757815,311.54842324077265
2026-07-20,326.5899963378906,333.7099914550781,323.67999267578125,333.510009765625,53468000,306.9469985961914,312.98095401192677
2026-07-21,327.739990234375,329.6000061035156,322.2200012207031,323.1300048828125,41338900,308.4834976196289,314.38657650930276
2026-07-22,325.8900146484375,329.0,323.3399963378906,327.8699951171875,38755900,310.06299896240233,315.4821420463632
2026-07-23,321.6600036621094,323.29998779296875,319.3500061035156,321.7300109863281,40840800,311.4919998168945,316.07050981929143
2026-07-24,333.0199890136719,334.3699951171875,321.6199951171875,321.7900085449219,47489400,314.38549957275393,317.68474593304194
2026-07-27,336.9100036621094,339.57000732421875,334.0199890136719,334.5400085449219,49604300,317.04199981689453,319.5157228596198
2026-07-28,340.0799865722656,342.8900146484375,335.6000061035156,340.0299987792969,51859000,319.95899963378906,321.47422416558607
2026-07-29,338.19000244140625,344.57000732421875,337.3500061035156,339.7300109863281,56090800,322.40050048828124,323.0662030489975
2026-07-30,333.42999267578125,334.75,329.5899963378906,333.1000061035156,74817800,324.3529998779297,324.05323063250074
2026-07-31,305.2099914550781,306.8999938964844,300.0,304.8099975585937,92850658,324.18199920654297,322.2586364251272
