Date,Close,High,Low,Open,Volume,SMA_20,EMA_20,RSI_14,ATR_14,BB_MIDDLE,BB_UPPER,BB_LOWER
2026-06-18,400.489990234375,402.5199890136719,384.7000122070313,398.1000061035156,58384700,,400.489990234375,,,,,
2026-06-22,405.0499877929688,414.75,394.3999938964844,394.8500061035156,47819500,,400.9242757161458,,,,,
2026-06-23,381.6099853515625,392.8699951171875,379.05999755859375,392.6099853515625,50420200,,399.0848194909474,,,,,
2026-06-24,375.5299987792969,384.5799865722656,373.0499877929688,380.0799865722656,37081400,,396.84150323269495,,,,,
2026-06-25,375.1199951171875,379.1199951171875,371.2200012207031,375.2699890136719,30138800,,394.7727881740752,,,,,
2026-06-26,379.7099914550781,387.7999877929688,368.6000061035156,370.1499938964844,53434100,,393.33823610559926,,,,,
2026-06-29,411.8399963378906,413.2699890136719,379.2999877929688,381.7900085449219,57645800,,395.10030850867463,,,,,
2026-06-30,420.6000061035156,424.5400085449219,406.0,406.0,43385600,,397.5288511367547,,,,,
2026-07-01,425.2999877929688,432.8599853515625,418.0899963378906,421.4599914550781,40127900,,400.1737212944894,,,,,
2026-07-02,393.4500122070313,432.3500061035156,389.2999877929688,428.010009765625,73717700,,399.5333680480648,,,,,
2026-07-06,419.7699890136719,420.0,390.5,397.5,54727900,,401.4606652828845,,,,,
2026-07-07,402.8999938964844,419.55999755859375,401.8800048828125,416.9599914550781,38149900,,401.5977441984654,,,,,
2026-07-08,394.05999755859375,399.6300048828125,390.510009765625,399.3800048828125,33844900,,400.87986356609673,,,,,
2026-07-09,406.5499877929688,407.8599853515625,390.8599853515625,393.989990234375,37835000,,401.41987539722743,51.673663371944464,20.70713806152343,,,
2026-07-10,407.760009765625,413.1600036621094,402.80999755859375,410.489990234375,33410000,,402.0236977180272,51.99451905787809,20.173568725585934,,,
2026-07-13,394.760009765625,405.5700073242188,391.3699951171875,404.6099853515625,32809200,,401.33191791303653,47.30190854550062,19.890712193080354,,,
2026-07-14,396.1799926757813,402.2200012207031,394.760009765625,399.0499877929688,23385000,,400.8412583666313,54.31908877476582,18.567140851702,,,
2026-07-15,394.4599914550781,406.5899963378906,390.6600036621094,399.3999938964844,31549800,,400.2335186607691,55.760452799238045,18.881426130022316,,,
2026-07-16,391.05999755859375,395.30999755859375,385.3200073242188,392.3500061035156,29269100,,399.3598499843714,54.76390000591016,19.030711582728788,,,
2026-07-17,380.8399963378906,385.6900024414063,377.2200012207031,381.7799987792969,31394600,397.85199584960935,397.59605439899224,50.326723335888666,18.647855486188604,397.85199584960935,427.6092997351885,368.09469196403023
2026-07-20,369.5700073242188,386.6099853515625,369.4299926757813,386.0499877929688,33901500,396.3059967041016,394.9269070585376,36.10179114020456,17.448569161551326,396.3059967041016,428.59163301656093,364.0203603916422
2026-07-21,378.9299926757813,384.0700073242188,369.9800109863281,371.1700134277344,32735300,394.9999969482422,393.403391403037,36.3529039494176,17.159997122628337,394.9999969482422,427.9036086874796,362.0963852090048
2026-07-22,374.010009765625,380.1700134277344,372.8999938964844,375.5299987792969,30646100,394.6199981689453,391.55640267566446,33.22649811493092,16.62428501674106,394.6199981689453,428.3401329660245,360.8998633718661
2026-07-23,319.69000244140625,342.1099853515625,315.739990234375,341.0,115606400,391.82799835205077,384.7119836057351,28.96896624095878,17.711427961077,391.82799835205077,438.8333653568472,344.82263134725434
2026-07-24,313.0299987792969,322.9599914550781,306.510009765625,320.7200012207031,62760000,388.72349853515624,377.8851279079791,15.722535739094056,16.779283796037937,388.72349853515624,447.1815005298833,330.2654965404292
2026-07-27,309.2200012207031,317.0,304.2799987792969,313.239990234375,44919400,385.1989990234375,371.34559203300046,17.162078259727295,16.40999930245535,385.1989990234375,453.5994858268117,316.79851222006334
2026-07-28,307.44000244140625,311.1600036621094,300.69000244140625,305.92999267578125,39802400,379.97899932861327,365.2593454052296,18.055751883321008,16.272857666015618,379.97899932861327,455.3939597336103,304.56403892361624
2026-07-29,298.32000732421875,309.0599975585937,297.3800048828125,307.1400146484375,39478000,373.86499938964846,358.88417034989527,9.068900822112084,15.89285714285713,373.86499938964846,455.02206877710023,292.7079300021967
2026-07-30,308.8500061035156,310.8699951171875,301.3299865722656,302.70001220703125,38005400,368.0425003051758,354.1190118502401,15.056861735882379,16.04999869210378,368.0425003051758,450.36291855392255,285.72208205642903
2026-07-31,310.010009765625,315.5,301.9700012207031,309.6000061035156,29909650,363.8705001831055,349.9181545088482,17.32591630428648,15.845711844308024,363.8705001831055,449.1726999263093,278.5683004399017
