Date,Close,High,Low,Open,Volume,SMA_20
2026-06-18,379.3999938964844,381.3699951171875,373.2799987792969,377.8200073242188,59714200,
2026-06-22,367.3399963378906,381.6300048828125,367.0700073242188,375.739990234375,45171100,
2026-06-23,373.9400024414063,377.2200012207031,370.6700134277344,372.3800048828125,40647600,
2026-06-24,365.4599914550781,378.8800048828125,364.7799987792969,371.5700073242188,44509900,
2026-06-25,352.8299865722656,364.2300109863281,349.20001220703125,362.7699890136719,66179000,
2026-06-26,372.9700012207031,376.6099853515625,355.42999267578125,357.1499938964844,186201600,
2026-06-29,368.5700073242188,380.5,359.8999938964844,377.5,51229900,
2026-06-30,373.0199890136719,374.1499938964844,367.4500122070313,371.0299987792969,44945700,
2026-07-01,384.2799987792969,388.8299865722656,374.8900146484375,380.8299865722656,48065800,
2026-07-02,390.489990234375,392.2000122070313,383.7000122070313,384.4800109863281,42128900,
2026-07-06,386.739990234375,389.1499938964844,381.2200012207031,387.0400085449219,34224500,
2026-07-07,388.8399963378906,395.5700073242188,388.2200012207031,392.489990234375,29297500,
2026-07-08,383.3399963378906,385.30999755859375,381.3299865722656,384.0299987792969,25908300,
2026-07-09,384.3599853515625,384.6499938964844,373.3500061035156,374.4500122070313,31083200,
2026-07-10,385.1000061035156,391.9100036621094,381.5,387.7999877929688,24644600,
2026-07-13,390.989990234375,393.6499938964844,384.1499938964844,387.75,28914900,
2026-07-14,384.9299926757813,388.1900024414063,378.6499938964844,382.8200073242188,27863900,
2026-07-15,395.6300048828125,398.9599914550781,386.3999938964844,387.7999877929688,36253700,
2026-07-16,401.1000061035156,405.989990234375,392.0499877929688,398.30999755859375,37047400,
2026-07-17,393.8200073242188,398.3900146484375,389.3900146484375,394.8599853515625,33049800,381.1574966430664
2026-07-20,402.2900085449219,403.1799926757813,389.6499938964844,391.4100036621094,27915800,382.30199737548827
2026-07-21,397.75,401.4700012207031,396.3200073242188,398.80999755859375,24126600,383.82249755859374
2026-07-22,390.3399963378906,401.0,386.9599914550781,399.5799865722656,28142500,384.64249725341796
2026-07-23,381.5799865722656,391.7799987792969,377.3900146484375,389.9700012207031,30351800,385.44849700927733
2026-07-24,381.7000122070313,389.0299987792969,380.6499938964844,387.0499877929688,27659400,386.8919982910156
2026-07-27,389.1000061035156,394.2000122070313,387.989990234375,390.0799865722656,27856200,387.69849853515626
2026-07-28,393.3500061035156,400.3200073242188,391.2999877929688,393.1600036621094,32367500,388.93749847412107
2026-07-29,390.5400085449219,401.25,388.739990234375,393.3999938964844,47209000,389.8134994506836
2026-07-30,451.1000061035156,458.6900024414063,432.4400024414063,437.8999938964844,110160700,393.15449981689454
2026-07-31,462.1499938964844,464.7999877929688,449.552001953125,449.5849914550781,40747310,396.7375
